opisto_id,Opisto category name,Opisto part category links,Ovoko part ID,Part position Position
58,Retroviseur droit,https://www.opisto.fr/fr/auto/pieces-occasion/Retroviseur-droit/toutes-marques/page-1,,604,40
59,Attelage (boule de remorquage),https://www.opisto.fr/fr/auto/pieces-occasion/Attelage-(boule-de-remorquage)/toutes-marques/page-1,,626,
60,Poignee porte avant gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Poignee-porte-avant-gauche/toutes-marques/page-1,,594,20
61,Poignee porte avant droit,https://www.opisto.fr/fr/auto/pieces-occasion/Poignee-porte-avant-droit/toutes-marques/page-1,,594,40
62,Poignee porte arriere gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Poignee-porte-arriere-gauche/toutes-marques/page-1,,614,60
63,Poignee porte arriere droit,https://www.opisto.fr/fr/auto/pieces-occasion/Poignee-porte-arriere-droit/toutes-marques/page-1,,614,70
64,Bras essuie glace avant,https://www.opisto.fr/fr/auto/pieces-occasion/Bras-essuie-glace-avant/toutes-marques/page-1,,106,
65,Bras essuie glace arriere,https://www.opisto.fr/fr/auto/pieces-occasion/Bras-essuie-glace-arriere/toutes-marques/page-1,,118,
66,Radiateur eau,https://www.opisto.fr/fr/auto/pieces-occasion/Radiateur-eau/toutes-marques/page-1,,231,
67,Radiateur chauffage,https://www.opisto.fr/fr/auto/pieces-occasion/Radiateur-chauffage/toutes-marques/page-1,,214,
68,Radiateur huile,https://www.opisto.fr/fr/auto/pieces-occasion/Radiateur-huile/toutes-marques/page-1,,246,
69,Radiateur clim,https://www.opisto.fr/fr/auto/pieces-occasion/Radiateur-clim/toutes-marques/page-1,,205,
70,Compresseur clim,https://www.opisto.fr/fr/auto/pieces-occasion/Compresseur-clim/toutes-marques/page-1,,202,
71,Ventilateur chauffage,https://www.opisto.fr/fr/auto/pieces-occasion/Ventilateur-chauffage/toutes-marques/page-1,,215,
72,Ventilateur eau,https://www.opisto.fr/fr/auto/pieces-occasion/Ventilateur-eau/toutes-marques/page-1,,233,
73,Carburateur,https://www.opisto.fr/fr/auto/pieces-occasion/Carburateur/toutes-marques/page-1,,283,
75,Injecteurs,https://www.opisto.fr/fr/auto/pieces-occasion/Injecteurs/toutes-marques/page-1,,320,
76,Rampe injection,https://www.opisto.fr/fr/auto/pieces-occasion/Rampe-injection/toutes-marques/page-1,,315,
77,Pompe amorçage go,https://www.opisto.fr/fr/auto/pieces-occasion/Pompe-amorçage-go/toutes-marques/page-1,,1770,
78,Pompe à carburant,https://www.opisto.fr/fr/auto/pieces-occasion/Pompe-à-carburant/toutes-marques/page-1,,311,
79,Turbo,https://www.opisto.fr/fr/auto/pieces-occasion/Turbo/toutes-marques/page-1,,278,
80,Reservoir essence,https://www.opisto.fr/fr/auto/pieces-occasion/Reservoir-essence/toutes-marques/page-1,,302,
81,Trappe d'essence,https://www.opisto.fr/fr/auto/pieces-occasion/Trappe-d'essence/toutes-marques/page-1,,803,
82,Pompe haute pression,https://www.opisto.fr/fr/auto/pieces-occasion/Pompe-haute-pression/toutes-marques/page-1,,316,
83,Sphere avant,https://www.opisto.fr/fr/auto/pieces-occasion/Sphere-avant/toutes-marques/page-1,,no category on Ovoko,
84,Sphere arriere,https://www.opisto.fr/fr/auto/pieces-occasion/Sphere-arriere/toutes-marques/page-1,,no category on Ovoko,
85,Pompe à vide,https://www.opisto.fr/fr/auto/pieces-occasion/Pompe-à-vide/toutes-marques/page-1,,1181,
86,Pompe lave glace avant,https://www.opisto.fr/fr/auto/pieces-occasion/Pompe-lave-glace-avant/toutes-marques/page-1,,132,
87,Pompe lave glace arriere,https://www.opisto.fr/fr/auto/pieces-occasion/Pompe-lave-glace-arriere/toutes-marques/page-1,,132,
88,Echangeur air (Intercooler),https://www.opisto.fr/fr/auto/pieces-occasion/Echangeur-air-(Intercooler)/toutes-marques/page-1,,235,
89,Demarreur,https://www.opisto.fr/fr/auto/pieces-occasion/Demarreur/toutes-marques/page-1,,259,
90,Alternateur,https://www.opisto.fr/fr/auto/pieces-occasion/Alternateur/toutes-marques/page-1,,252,
92,Porte fusible,https://www.opisto.fr/fr/auto/pieces-occasion/Porte-fusible/toutes-marques/page-1,,1240,
93,Allumeur (allumage),https://www.opisto.fr/fr/auto/pieces-occasion/Allumeur-(allumage)/toutes-marques/page-1,,1458,
94,Moteur essuie glace avant,https://www.opisto.fr/fr/auto/pieces-occasion/Moteur-essuie-glace-avant/toutes-marques/page-1,,113,
95,Moteur essuie glace arriere,https://www.opisto.fr/fr/auto/pieces-occasion/Moteur-essuie-glace-arriere/toutes-marques/page-1,,119,
96,Batterie,https://www.opisto.fr/fr/auto/pieces-occasion/Batterie/toutes-marques/page-1,,1242,
97,Moteur leve vitre avant gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Moteur-leve-vitre-avant-gauche/toutes-marques/page-1,,602,80
98,Moteur leve vitre avant droit,https://www.opisto.fr/fr/auto/pieces-occasion/Moteur-leve-vitre-avant-droit/toutes-marques/page-1,,602,90
99,Moteur leve vitre arriere gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Moteur-leve-vitre-arriere-gauche/toutes-marques/page-1,,622,60
100,Moteur leve vitre arriere droit,https://www.opisto.fr/fr/auto/pieces-occasion/Moteur-leve-vitre-arriere-droit/toutes-marques/page-1,,622,70
101,Fermeture centralisee avant gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Fermeture-centralisee-avant-gauche/toutes-marques/page-1,,597,80
102,Fermeture centralisee avant droit,https://www.opisto.fr/fr/auto/pieces-occasion/Fermeture-centralisee-avant-droit/toutes-marques/page-1,,597,90
103,Fermeture centralisee arriere gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Fermeture-centralisee-arriere-gauche/toutes-marques/page-1,,617,60
104,Fermeture centralisee arriere droit,https://www.opisto.fr/fr/auto/pieces-occasion/Fermeture-centralisee-arriere-droit/toutes-marques/page-1,,617,70
105,Fermeture centralisee coffre,https://www.opisto.fr/fr/auto/pieces-occasion/Fermeture-centralisee-coffre/toutes-marques/page-1,,564,
106,Moteur,https://www.opisto.fr/fr/auto/pieces-occasion/Moteur/toutes-marques/page-1,,322,
107,Boite de vitesses,https://www.opisto.fr/fr/auto/pieces-occasion/Boite-de-vitesses/toutes-marques/page-1,,Opisto one option in Ovoko more options,
108,Arbre de transmission (propulsion),https://www.opisto.fr/fr/auto/pieces-occasion/Arbre-de-transmission-(propulsion)/toutes-marques/page-1,,1339,
109,Pont (propulsion),https://www.opisto.fr/fr/auto/pieces-occasion/Pont-(propulsion)/toutes-marques/page-1,,459,
110,Cremaillere assistee,https://www.opisto.fr/fr/auto/pieces-occasion/Cremaillere-assistee/toutes-marques/page-1,,333,
111,Pompe de direction,https://www.opisto.fr/fr/auto/pieces-occasion/Pompe-de-direction/toutes-marques/page-1,,340,
112,Cardan gauche (transmission),https://www.opisto.fr/fr/auto/pieces-occasion/Cardan-gauche-(transmission)/toutes-marques/page-1,,451,20
113,Cardan droit (transmission),https://www.opisto.fr/fr/auto/pieces-occasion/Cardan-droit-(transmission)/toutes-marques/page-1,,451,40
114,Culasse,https://www.opisto.fr/fr/auto/pieces-occasion/Culasse/toutes-marques/page-1,,264,
115,Moyeu avant droit,https://www.opisto.fr/fr/auto/pieces-occasion/Moyeu-avant-droit/toutes-marques/page-1,,359,90
116,Barre stabilisatrice,https://www.opisto.fr/fr/auto/pieces-occasion/Barre-stabilisatrice/toutes-marques/page-1,,367,
119,Tube intermediaire (echappement),https://www.opisto.fr/fr/auto/pieces-occasion/Tube-intermediaire-(echappement)/toutes-marques/page-1,,1333,
120,Tube avant (echappement),https://www.opisto.fr/fr/auto/pieces-occasion/Tube-avant-(echappement)/toutes-marques/page-1,,1334,
121,Amortisseur avant gauche,https://www.opisto.fr/fr/auto/pieces-occasion/Amortisseur-avant-gauche/toutes-marques/page-1,,1800,80
